FF7 Decompilation Dependency Report
Generated: 2026-04-11 14:18:34
Total functions in call graph: 3382

========================================================================
SECTION 1 – DECOMPILED  (1421 functions)
  Total: 1421 functions
========================================================================
  [sdk_excluded]  (333 functions)
  Function                                  Dependents     Calls
  ----------------------------------------  ----------  --------
  EnterCriticalSection                               9         0
  SpuSetIRQ                                          9         1
  SpuSetIRQCallback                                  9         1
  puts                                               9         0
  ExitCriticalSection                                8         0
  SpuSetTransferCallback                             8         0
  SpuSetTransferStartAddr                            8         1
  func_8003DE84                                      8         0
  DMACallback                                        7         0
  func_800484A8                                      7         0
  func_80048540                                      7         0
  SpuSetIRQAddr                                      6         1
  SpuSetKey                                          6         0
  func_80038F04                                      6         1
  func_8003DE6C                                      6         0
  func_80041D28                                      6         6
  func_80041E30                                      6         3
  CD_flush                                           5         0
  GetGraphType                                       5         0
  InterruptCallback                                  5         0
  SetDefDrawEnv                                      5         2
  get_alarm                                          5         3
  set_alarm                                          5         1
  CD_sync                                            4         6
  SetIntrMask                                        4         0
  SetSZfifo3                                         4         0
  _spu_FsetRXXa                                      4         0
  _spu_FwaitFs                                       4         0
  checkRECT                                          4         0
  func_8003DE2C                                      4         1
  func_8003EF30                                      4         7
  getintr                                            4         2
  DecDCToutCallback                                  3         1
  DecDCTvlc                                          3         0
  SetDefDispEnv                                      3         0
  SpuSetVoiceLoopStartAddr                           3         1
  _SpuIsInAllocateArea_                              3         0
  _SpuSetAnyVoice                                    3         0
  _spu_t                                             3         2
  func_8003A0E8                                      3         0
  func_8003DE4C                                      3         1
  func_80041AFC                                      3        11
  get_tw                                             3         0
  CD_memcpy                                          2         0
  CdReset                                            2         3
  ColorDpq                                           2         0
  MDEC_in                                            2         1
  MDEC_in_sync                                       2         1
  MDEC_out_sync                                      2         1
  SpuGetKeyStatus                                    2         0
  SpuSetCommonAttr                                   2         0
  SpuSetTransferMode                                 2         0
  StFreeRing                                         2         0
  StSetMask                                          2         0
  StUnSetRing                                        2         4
  _exeque                                            2         2
  _patch_card2                                       2         2
  _spu_FsetDelayR                                    2         0
  _spu_FsetRXX                                       2         0
  _spu_gcSPU                                         2         0
  _spu_writeByIO                                     2         2
  cd_read                                            2         4
  func_8003DCD8                                      2         0
  func_8003DD84                                      2         1
  func_8003E28C                                      2         1
  func_80040CA8                                      2         5
  get_ce                                             2         0
  get_cs                                             2         0
  get_mode                                           2         0
  get_ofs                                            2         0
  init_ring_status                                   2         0
  timeout                                            2         1
  CD_cachefile                                       1         4
  CD_datasync                                        1         4
  CD_getsector                                       1         0
  CD_init                                            1         6
  CD_initintr                                        1         2
  CD_initvol                                         1         0
  CD_newmedia                                        1         4
  CD_ready                                           1         6
  CD_searchdir                                       1         1
  CD_vol                                             1         0
  DMA_memclr                                         1         0
  GetRCnt                                            1         0
  InitGeom                                           1         1
  Lzc                                                1         0
  MDEC_out                                           1         1
  MDEC_reset                                         1         3
  RotMatrix                                          1         0
  RotTransPers                                       1         0
  ScaleMatrix                                        1         0
  SetGeomOffset                                      1         0
  SetGeomScreen                                      1         0
  SetRotMatrix                                       1         0
  SetTransMatrix                                     1         0
  SpuClearReverbWorkArea                             1         3
  SpuGetReverbModeParam                              1         0
  SpuInitMalloc                                      1         0
  SpuMallocWithStartAddr                             1         2
  SpuRead                                            1         1
  SpuSetNoiseClock                                   1         0
  SpuSetNoiseVoice                                   1         1
  SpuSetPitchLFOVoice                                1         1
  SpuSetReverb                                       1         1
  SpuSetReverbDepth                                  1         0
  SpuSetReverbModeParam                              1         4
  SpuSetReverbVoice                                  1         1
  SpuSetVoiceARAttr                                  1         0
  SpuSetVoiceDR                                      1         0
  SpuSetVoicePitch                                   1         0
  SpuSetVoiceRRAttr                                  1         0
  SpuSetVoiceSL                                      1         0
  SpuSetVoiceSRAttr                                  1         0
  SpuSetVoiceStartAddr                               1         1
  SpuSetVoiceVolume                                  1         0
  SpuSetVoiceVolumeAttr                              1         0
  SpuStart                                           1         5
  StClearRing                                        1         1
  StGetBackloc                                       1         2
  StGetNext                                          1         0
  StRingStatus                                       1         0
  StSetRing                                          1         1
  StSetStream                                        1         1
  StartRCnt                                          1         0
  StopRCnt                                           1         0
  VSyncCallback                                      1         0
  VSync_memclr                                       1         0
  _ExitCard                                          1         3
  _SpuCallback                                       1         1
  _SpuDataCallback                                   1         1
  _SpuInit                                           1         4
  _SpuMallocSeparateTo3                              1         1
  _addque2                                           1         5
  _card_write                                        1         0
  _cmp                                               1         1
  _cwc                                               1         0
  _new_card                                          1         0
  _param                                             1         0
  _patch_card                                        1         2
  _patch_gte                                         1         3
  _reset                                             1         3
  _spu_FsetDelayW                                    1         0
  _spu_init                                          1         3
  _spu_read                                          1         1
  _spu_setReverbAttr                                 1         0
  _spu_write                                         1         2
  _version                                           1         0
  csqrt_1                                            1         0
  data_ready_callback                                1         0
  exit                                               1         0
  func_8003DCE8                                      1         0
  func_8003DDA4                                      1         0
  func_80041620                                      1         0
  func_80041654                                      1         1
  func_80041EFC                                      1         0
  func_800485A0                                      1         0
  get_dx                                             1         0
  get_tim_addr                                       1         2
  get_tmd_addr                                       1         2
  memclr                                             1         0
  setjmp                                             1         0
  sin_1                                              1         0
  startIntrDMA                                       1         2
  startIntrVSync                                     1         2
  trapIntr                                           1         2
  unpack_packet                                      1         3
  v_wait                                             1         3
  ApplyMatrix                                        0         0
  ApplyMatrixLV                                      0         0
  ApplyMatrixSV                                      0         0
  ApplyRotMatrix                                     0         0
  AverageSZ3                                         0         0
  AverageSZ4                                         0         0
  AverageZ3                                          0         0
  AverageZ4                                          0         0
  ColorCol                                           0         0
  CompMatrix                                         0         0
  DecDCTGetEnv                                       0         0
  DecDCTPutEnv                                       0         0
  DecDCTinCallback                                   0         1
  DecDCTvlcSize                                      0         0
  DpqColor                                           0         0
  DpqColor3                                          0         0
  DpqColorLight                                      0         0
  DrawSyncCallback                                   0         0
  DumpClut                                           0         0
  DumpDispEnv                                        0         0
  DumpDrawEnv                                        0         1
  DumpTPage                                          0         1
  GetIntrMask                                        0         0
  GetODE                                             0         0
  Intpl                                              0         0
  InvSquareRoot                                      0         0
  LightColor                                         0         0
  LoadAverage0                                       0         0
  LoadAverage12                                      0         0
  LoadAverageByte                                    0         0
  LoadAverageCol                                     0         0
  LoadAverageShort0                                  0         0
  LoadAverageShort12                                 0         0
  LocalLight                                         0         0
  MargePrim                                          0         0
  MatrixNormal                                       0         1
  MulMatrix                                          0         0
  MulMatrix0                                         0         0
  MulMatrix2                                         0         0
  MulRotMatrix                                       0         0
  MulRotMatrix0                                      0         0
  NormalColor                                        0         0
  NormalColor3                                       0         0
  NormalColorCol                                     0         0
  NormalColorCol3                                    0         0
  NormalColorDpq                                     0         0
  NormalColorDpq3                                    0         0
  OuterProduct0                                      0         0
  OuterProduct12                                     0         0
  PadInit                                            0         3
  PadRead                                            0         1
  PadStop                                            0         1
  PopMatrix                                          0         1
  PushMatrix                                         0         1
  ReadColorMatrix                                    0         0
  ReadGeomOffset                                     0         0
  ReadGeomScreen                                     0         0
  ReadLZC                                            0         0
  ReadLightMatrix                                    0         0
  ReadOTZ                                            0         0
  ReadRotMatrix                                      0         0
  ResetRCnt                                          0         0
  RotAverage3                                        0         0
  RotAverage4                                        0         0
  RotAverageNclip3                                   0         0
  RotAverageNclip4                                   0         0
  RotMatrixX                                         0         0
  RotMatrixY                                         0         0
  RotMatrixYXZ                                       0         0
  RotMatrixZ                                         0         0
  RotMatrixZYX                                       0         0
  RotTrans                                           0         0
  RotTransPers3                                      0         0
  RotTransPers4                                      0         0
  RotTransSV                                         0         0
  ScaleMatrixL                                       0         0
  SetBackColor                                       0         0
  SetBlockFill                                       0         0
  SetColorMatrix                                     0         0
  SetDrawMove                                        0         0
  SetFarColor                                        0         0
  SetFogNearFar                                      0         2
  SetGraphQueue                                      0         1
  SetGraphReverse                                    0         0
  SetIR123                                           0         0
  SetLightMatrix                                     0         0
  SetMAC123                                          0         0
  SetMulMatrix                                       0         0
  SetPriority                                        0         0
  SetRGBfifo                                         0         0
  SetRii                                             0         0
  SetSXSYfifo                                        0         0
  SetSZfifo4                                         0         0
  SetTexWindow                                       0         1
  SetVertexTri                                       0         0
  Square0                                            0         0
  Square12                                           0         0
  SquareRoot0                                        0         0
  SquareRoot12                                       0         0
  SquareSL0                                          0         0
  SquareSL12                                         0         0
  SquareSS0                                          0         0
  SquareSS12                                         0         0
  SsInitHot                                          0         3
  StCdInterrupt2                                     0         1
  TransMatrix                                        0         0
  TransposeMatrix                                    0         0
